,Address,Address Latitude,Address Longitude,Venue,Venue Distance,Venue Latitude,Venue Longitude,Venue Category
91,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,LUSH,1015,43.653557,-79.3804,Cosmetics Shop
92,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Downtown Camera,592,43.653107,-79.37512,Camera Store
93,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,CF Toronto Eaton Centre,1067,43.654540112988535,-79.38067738352993,Shopping Mall
94,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Pilot Coffee Roasters,1073,43.648835391245896,-79.3809358125033,Coffee Shop
95,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Mill St. Brew Pub,785,43.65035331843578,-79.35848936650571,Pub
96,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Chotto Matte,1023,43.646473,-79.378782,Japanese Restaurant
97,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Adelaide Club Toronto,1138,43.64927944291712,-79.38192123284551,Gym / Fitness Center
98,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Underpass Park,1173,43.65576361726024,-79.3548059463501,Park
99,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Brick Street Bakery,1048,43.6488151631615,-79.38060468610949,Bakery
100,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Hudson's Bay,990,43.652039815876805,-79.38039146122816,Department Store
101,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Ed Mirvish Theatre,1021,43.655101567321054,-79.37976762131545,Theater
102,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Yonge-Dundas Square,1119,43.65605389742188,-79.38049504264389,Plaza
103,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Canoe,1153,43.647452066183476,-79.38132001815676,Restaurant
104,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Dominion Pub and Kitchen,953,43.65691857501867,-79.35896684476664,Pub
105,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Roots,1005,43.65361341708363,-79.38024401664734,Clothing Store
106,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Blaze Pizza,1110,43.656518,-79.380015,Pizza Place
107,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,John & Sons Oyster House,1090,43.65065642537144,-79.38161285228475,Seafood Restaurant
108,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Cactus Club Cafe,1112,43.6495520142626,-79.38167072512041,American Restaurant
109,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Soulpepper Theatre,849,43.65078003430492,-79.35761534068922,Theater
110,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,I Love Churros,793,43.65836361668554,-79.36558277878224,Food Truck
111,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Regent Park Aquatic Centre,1150,43.6606003130796,-79.36139162915349,Pool
112,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Crepe Delicious,1083,43.654536488277245,-79.38088885547485,Fast Food Restaurant
113,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,One King West Hotel & Residence,827,43.6491395,-79.3778763,Hotel
114,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Nordstrom,1108,43.655041,-79.3809665,Clothing Store
115,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Old City Hall,1099,43.652008800876125,-79.3817442232328,Monument / Landmark
